seqname	V	D	J	vlen	vdilen	dlen	djilen	jlen
S660	IGHV3-64*03	IGHD2-21*02	IGHJ4*01	295	0	8	6	43
S661	IGHV3-64*01	IGHD6-13*01	IGHJ1*01	295	7	17	2	52
S662	IGHV3-15*08	IGHD3-3*02	IGHJ1*01	301	4	19	0	40
S663	IGHV5-51*02	IGHD1-7*01	IGHJ3*02	296	3	0	6	35
S664	IGHV3-30-3*01	IGHD7-27*01	IGHJ4*01	293	4	7	18	48
S665	IGHV5-51*03	IGHD3-9*01	IGHJ1*01	292	13	24	12	44
S666	IGHV3-20*01	IGHD5-18*01	IGHJ5*02	296	6	20	3	48
S667	IGHV3-23*01	IGHD1-1*01	IGHJ2*01	296	10	8	4	52
S668	IGHV6-1*01	IGHD1-7*01	IGHJ4*01	304	12	7	5	48
S669	IGHV3-74*01	IGHD1-1*01	IGHJ6*03	296	9	5	0	62
S670	IGHV4-4*02	IGHD6-13*01	IGHJ2*01	296	3	15	1	46
S671	IGHV3-72*01	IGHD4-17*01	IGHJ3*01	302	7	12	10	39
S672	IGHV1-69*14	IGHD5-12*01	IGHJ6*04	296	0	21	3	59
S673	IGHV4-61*08	IGHD2-21*01	IGHJ1*01	290	0	15	7	52
S674	IGHV3-21*01	IGHD3-10*02	IGHJ6*02	293	1	30	12	60
S675	IGHV3-13*04	IGHD1-7*01	IGHJ3*01	292	7	3	14	45
S676	IGHV3-30-3*01	IGHD1-20*01	IGHJ6*02	294	6	10	0	62
S677	IGHV4-61*08	IGHD1-26*01	IGHJ5*01	297	18	12	0	40
S678	IGHV3-74*01	IGHD5-5*01	IGHJ5*01	296	10	20	2	48
S679	IGHV2-26*01	IGHD6-25*01	IGHJ1*01	300	7	9	1	47
S680	IGHV3-23*03	IGHD4-17*01	IGHJ3*02	296	2	10	6	50
S681	IGHV1-3*02	IGHD3-3*02	IGHJ6*03	295	7	26	6	56
S682	IGHV4-38-2*01	IGHD5-5*01	IGHJ2*01	294	7	17	1	48
S683	IGHV3-21*02	IGHD3-9*01	IGHJ1*01	296	15	22	16	51
S684	IGHV1-46*01	IGHD4-4*01	IGHJ1*01	294	9	11	0	47
S685	IGHV5-10-1*01	IGHD6-19*01	IGHJ1*01	294	5	18	5	42
S686	IGHV4-38-2*02	IGHD1-7*01	IGHJ1*01	292	8	4	4	44
S687	IGHV3-73*01	IGHD2-2*02	IGHJ6*01	302	7	15	1	57
S688	IGHV3-7*01	IGHD2-21*02	IGHJ4*02	296	5	26	4	39
S689	IGHV3-73*02	IGHD1-26*01	IGHJ5*01	300	0	13	8	43
S690	IGHV3-7*02	IGHD2-8*01	IGHJ2*01	292	3	28	0	47
S691	IGHV4-28*05	IGHD1-7*01	IGHJ1*01	296	3	4	9	52
S692	IGHV4-38-2*01	IGHD2-2*01	IGHJ5*02	294	12	27	0	43
S693	IGHV4-61*08	IGHD7-27*01	IGHJ3*02	299	7	5	17	45
S694	IGHV3-30*04	IGHD2-2*02	IGHJ5*01	295	7	30	3	50
S695	IGHV3-11*01	IGHD4-4*01	IGHJ4*03	295	0	16	0	41
S696	IGHV3-72*01	IGHD5-5*01	IGHJ1*01	298	0	19	5	42
S697	IGHV3-23*04	IGHD2-2*01	IGHJ4*03	296	1	15	7	39
S698	IGHV5-51*02	IGHD1-1*01	IGHJ1*01	293	0	8	1	47
S699	IGHV5-10-1*03	IGHD2-8*01	IGHJ4*02	294	5	19	4	48
S700	IGHV3-7*01	IGHD6-13*01	IGHJ2*01	296	7	8	4	40
S701	IGHV5-51*02	IGHD7-27*01	IGHJ5*02	296	0	9	9	35
S702	IGHV3-43*01	IGHD4-17*01	IGHJ4*02	298	8	6	9	43
S703	IGHV3-21*04	IGHD6-25*01	IGHJ1*01	291	9	8	1	49
S704	IGHV3-9*02	IGHD4-4*01	IGHJ3*02	298	4	16	7	45
S705	IGHV2-26*01	IGHD1-1*01	IGHJ1*01	300	0	5	0	47
S706	IGHV3-43*01	IGHD1-26*01	IGHJ5*02	295	0	5	12	46
S707	IGHV3-20*01	IGHD2-2*02	IGHJ5*02	296	2	19	4	46
S708	IGHV4-30-2*05	IGHD3-22*01	IGHJ2*01	298	13	22	0	52
S709	IGHV3-11*06	IGHD3-10*02	IGHJ2*01	296	8	22	9	53
S710	IGHV1-69-2*01	IGHD2-2*02	IGHJ5*02	296	15	25	4	42
S711	IGHV2-5*06	IGHD1-7*01	IGHJ1*01	300	4	10	1	46
S712	IGHV3-72*01	IGHD6-13*01	IGHJ2*01	301	10	11	3	48
S713	IGHV1-58*02	IGHD5-12*01	IGHJ4*02	293	0	9	3	44
S714	IGHV5-10-1*01	IGHD4-4*01	IGHJ5*02	294	2	0	7	43
S715	IGHV3-21*04	IGHD6-19*01	IGHJ1*01	295	13	14	4	47
S716	IGHV1-45*02	IGHD3-22*01	IGHJ5*01	290	7	29	0	50
S717	IGHV3-21*03	IGHD3-3*02	IGHJ4*02	296	6	20	0	48
S718	IGHV6-1*02	IGHD2-21*01	IGHJ3*01	305	0	24	0	50
S719	IGHV4-28*03	IGHD6-25*01	IGHJ6*03	296	4	0	4	59
S720	IGHV1-45*02	IGHD2-8*01	IGHJ4*01	291	13	29	6	40
S721	IGHV1-8*01	IGHD1-1*01	IGHJ6*04	296	0	6	7	58
S722	IGHV3-13*02	IGHD6-19*01	IGHJ3*01	292	17	17	0	50
S723	IGHV3-74*03	IGHD1-26*01	IGHJ5*02	296	8	12	1	47
S724	IGHV3-48*01	IGHD3-22*01	IGHJ3*02	296	12	30	0	41
S725	IGHV4-30-2*05	IGHD3-22*01	IGHJ2*01	299	0	24	5	48
S726	IGHV1-2*04	IGHD3-10*02	IGHJ6*04	295	1	6	1	55
S727	IGHV1-3*01	IGHD6-6*01	IGHJ4*01	295	13	16	4	48
S728	IGHV3-20*01	IGHD7-27*01	IGHJ6*04	296	0	0	1	55
S729	IGHV1-2*04	IGHD2-2*02	IGHJ5*01	296	2	29	4	51
S730	IGHV2-26*01	IGHD6-25*01	IGHJ1*01	297	0	8	4	52
S731	IGHV3-11*01	IGHD1-20*01	IGHJ6*04	295	8	9	0	58
S732	IGHV3-64*05	IGHD2-21*01	IGHJ6*01	295	4	28	0	61
S733	IGHV3-7*03	IGHD1-20*01	IGHJ4*03	295	0	5	1	48
S734	IGHV3-53*02	IGHD5-5*01	IGHJ4*01	293	9	20	7	35
S735	IGHV3-72*01	IGHD1-1*01	IGHJ2*01	301	17	17	0	53
S736	IGHV3-66*01	IGHD2-15*01	IGHJ3*01	287	3	17	9	48
S737	IGHV4-28*03	IGHD5-18*01	IGHJ6*04	296	6	17	1	62
S738	IGHV4-34*04	IGHD6-25*01	IGHJ3*02	290	5	8	5	50
S739	IGHV3-15*07	IGHD4-4*01	IGHJ2*01	299	11	11	3	43
S740	IGHV4-28*05	IGHD1-1*01	IGHJ5*02	290	6	12	8	42
S741	IGHV6-1*02	IGHD7-27*01	IGHJ6*03	299	23	6	0	62
S742	IGHV1-2*04	IGHD1-20*01	IGHJ3*02	296	0	7	0	46
S743	IGHV3-23*01	IGHD2-21*01	IGHJ4*01	296	14	22	6	44
S744	IGHV4-30-2*02	IGHD3-16*02	IGHJ2*01	294	2	27	11	51
S745	IGHV4-31*01	IGHD4-4*01	IGHJ3*01	297	4	2	0	49
S746	IGHV3-73*01	IGHD4-4*01	IGHJ3*01	302	0	12	2	45
S747	IGHV1-58*02	IGHD2-15*01	IGHJ1*01	296	8	31	0	50
S748	IGHV4-30-4*02	IGHD5-5*01	IGHJ4*03	299	7	7	0	42
S749	IGHV3-53*01	IGHD4-4*01	IGHJ6*01	291	21	10	1	59
S750	IGHV3-20*01	IGHD6-13*01	IGHJ1*01	295	1	19	0	43
S751	IGHV3-7*02	IGHD2-15*01	IGHJ4*02	294	2	31	0	43
S752	IGHV3-64*03	IGHD2-8*01	IGHJ3*02	296	0	29	4	41
S753	IGHV3-7*02	IGHD6-13*01	IGHJ1*01	292	13	7	4	45
S754	IGHV6-1*01	IGHD2-8*02	IGHJ3*01	305	0	23	13	35
S755	IGHV5-51*01	IGHD1-7*01	IGHJ1*01	296	0	13	3	52
S756	IGHV3-53*01	IGHD6-13*01	IGHJ3*01	292	5	3	4	48
S757	IGHV3-48*03	IGHD5-5*01	IGHJ6*01	296	7	20	2	63
S758	IGHV1-8*01	IGHD6-25*01	IGHJ5*01	295	2	12	3	46
S759	IGHV1-58*02	IGHD2-2*02	IGHJ2*01	296	0	31	0	49
S760	IGHV3-73*02	IGHD6-25*01	IGHJ5*01	301	7	18	2	51
S761	IGHV4-28*02	IGHD5-5*01	IGHJ1*01	296	4	11	1	37
S762	IGHV1-24*01	IGHD1-1*01	IGHJ5*01	296	12	7	8	47
S763	IGHV3-64*04	IGHD1-1*01	IGHJ2*01	296	3	15	0	53
S764	IGHV4-30-2*03	IGHD1-7*01	IGHJ3*01	299	9	11	8	43
S765	IGHV4-30-4*01	IGHD3-9*01	IGHJ4*01	298	9	26	2	47
S766	IGHV3-33*05	IGHD1-26*01	IGHJ3*01	296	0	16	0	43
S767	IGHV1-69*05	IGHD6-25*01	IGHJ6*03	293	0	9	9	58
S768	IGHV2-26*01	IGHD2-21*01	IGHJ3*01	299	0	28	7	45
S769	IGHV1-45*01	IGHD2-15*01	IGHJ3*01	295	15	14	17	47
S770	IGHV4-28*06	IGHD6-19*01	IGHJ2*01	296	5	17	10	48
S771	IGHV3-20*01	IGHD5-12*01	IGHJ1*01	296	6	13	0	43
S772	IGHV3-53*01	IGHD3-10*02	IGHJ4*03	291	6	27	0	46
S773	IGHV4-30-4*03	IGHD6-25*01	IGHJ1*01	290	7	15	0	52
S774	IGHV4-59*02	IGHD1-26*01	IGHJ2*01	293	0	0	17	45
S775	IGHV1-3*02	IGHD6-6*01	IGHJ5*02	290	1	12	8	35
S776	IGHV3-72*01	IGHD3-22*01	IGHJ4*01	299	13	23	1	46
S777	IGHV4-28*03	IGHD2-8*01	IGHJ5*01	295	7	10	3	46
S778	IGHV5-10-1*03	IGHD6-13*01	IGHJ4*01	294	0	19	0	48
S779	IGHV1-69-2*01	IGHD6-19*01	IGHJ4*03	295	6	5	0	43
S780	IGHV4-31*04	IGHD2-21*02	IGHJ2*01	294	0	15	0	49
S781	IGHV1-2*03	IGHD5-5*01	IGHJ2*01	296	0	11	0	48
S782	IGHV1-3*02	IGHD6-13*01	IGHJ1*01	295	12	12	1	47
S783	IGHV3-7*01	IGHD1-20*01	IGHJ5*01	296	0	15	4	37
S784	IGHV3-9*02	IGHD6-6*01	IGHJ1*01	298	2	8	7	49
S785	IGHV2-70*12	IGHD6-13*01	IGHJ1*01	301	0	17	0	52
S786	IGHV3-11*04	IGHD3-16*02	IGHJ1*01	293	0	27	6	50
S787	IGHV3-53*02	IGHD3-10*02	IGHJ3*01	290	7	27	9	46
S788	IGHV3-49*03	IGHD2-2*02	IGHJ4*03	302	3	30	8	42
S789	IGHV4-28*03	IGHD1-26*01	IGHJ6*03	296	0	10	5	61
S790	IGHV3-73*01	IGHD5-12*01	IGHJ6*04	302	0	22	14	62
S791	IGHV3-30-3*01	IGHD7-27*01	IGHJ2*01	294	0	7	2	49
S792	IGHV1-69*01	IGHD3-9*01	IGHJ4*02	296	8	18	0	39
S793	IGHV3-48*01	IGHD5-18*01	IGHJ3*01	295	0	10	5	48
S794	IGHV3-66*03	IGHD6-6*01	IGHJ6*02	292	0	3	0	62
S795	IGHV3-74*01	IGHD3-9*01	IGHJ2*01	293	9	25	0	52
S796	IGHV3-21*01	IGHD2-15*01	IGHJ2*01	296	6	31	3	40
S797	IGHV3-49*04	IGHD5-5*01	IGHJ5*01	300	4	14	7	45
S798	IGHV5-51*02	IGHD6-6*01	IGHJ3*01	296	3	18	0	44
S799	IGHV4-28*05	IGHD3-3*02	IGHJ6*01	294	21	25	0	60
S800	IGHV4-59*01	IGHD4-17*01	IGHJ2*01	292	0	8	3	52
S801	IGHV6-1*01	IGHD6-13*01	IGHJ6*01	304	5	21	7	54
S802	IGHV1-46*01	IGHD2-8*02	IGHJ4*01	294	8	22	18	46
S803	IGHV1-18*03	IGHD3-22*01	IGHJ6*01	295	5	18	13	57
S804	IGHV1-46*03	IGHD3-22*01	IGHJ6*03	295	0	26	1	62
S805	IGHV1-2*04	IGHD2-8*02	IGHJ2*01	291	0	20	0	44
S806	IGHV3-15*06	IGHD3-16*01	IGHJ4*03	302	0	34	9	43
S807	IGHV3-13*04	IGHD5-18*01	IGHJ2*01	292	0	3	11	49
S808	IGHV3-20*01	IGHD6-25*01	IGHJ1*01	295	7	6	11	48
S809	IGHV3-73*02	IGHD1-7*01	IGHJ1*01	301	9	0	3	51
S810	IGHV1-24*01	IGHD4-4*01	IGHJ1*01	296	0	6	3	47
S811	IGHV3-20*01	IGHD5-12*01	IGHJ2*01	296	14	21	6	48
S812	IGHV3-66*01	IGHD5-12*01	IGHJ3*01	293	9	10	4	42
S813	IGHV3-48*04	IGHD6-6*01	IGHJ3*01	296	15	3	0	50
S814	IGHV1-46*03	IGHD3-10*01	IGHJ5*01	295	3	18	3	45
S815	IGHV3-11*05	IGHD3-9*01	IGHJ3*01	295	0	13	0	50
S816	IGHV1-69-2*01	IGHD6-25*01	IGHJ3*02	294	11	7	0	34
S817	IGHV4-31*03	IGHD1-1*01	IGHJ3*01	299	3	8	7	32
S818	IGHV2-5*05	IGHD3-16*02	IGHJ1*01	298	19	17	3	51
S819	IGHV2-26*01	IGHD1-1*01	IGHJ3*02	300	4	5	5	38
S820	IGHV3-53*04	IGHD3-16*02	IGHJ6*03	291	3	33	5	58
S821	IGHV3-66*02	IGHD2-21*02	IGHJ3*01	289	2	19	3	48
S822	IGHV3-15*02	IGHD1-1*01	IGHJ1*01	302	0	8	4	50
S823	IGHV4-39*01	IGHD6-6*01	IGHJ5*01	297	8	3	7	46
S824	IGHV5-10-1*01	IGHD1-20*01	IGHJ1*01	294	0	16	2	46
S825	IGHV3-43*02	IGHD2-2*01	IGHJ5*02	298	0	23	1	36
S826	IGHV4-38-2*02	IGHD6-6*01	IGHJ6*02	296	6	7	3	57
S827	IGHV7-4-1*02	IGHD5-12*01	IGHJ4*02	293	0	15	4	46
S828	IGHV3-43*02	IGHD6-13*01	IGHJ2*01	297	0	11	9	53
S829	IGHV1-58*02	IGHD2-15*01	IGHJ1*01	293	0	25	10	36
S830	IGHV4-61*02	IGHD3-10*01	IGHJ4*03	298	3	23	16	45
S831	IGHV3-15*07	IGHD5-18*01	IGHJ4*03	302	0	17	0	48
S832	IGHV3-49*01	IGHD2-15*01	IGHJ6*03	299	5	25	8	56
S833	IGHV4-39*07	IGHD7-27*01	IGHJ1*01	294	11	4	0	46
S834	IGHV1-2*04	IGHD6-25*01	IGHJ2*01	295	7	13	17	50
S835	IGHV3-9*01	IGHD7-27*01	IGHJ2*01	297	6	8	12	50
S836	IGHV5-51*04	IGHD6-19*01	IGHJ2*01	294	4	14	2	53
S837	IGHV5-51*03	IGHD1-7*01	IGHJ1*01	294	3	17	4	46
S838	IGHV4-4*02	IGHD3-10*01	IGHJ1*01	295	8	24	6	49
S839	IGHV1-3*02	IGHD1-20*01	IGHJ2*01	296	5	13	0	44
S840	IGHV3-66*02	IGHD1-26*01	IGHJ3*02	291	7	20	0	43
S841	IGHV4-38-2*02	IGHD6-25*01	IGHJ3*01	296	7	0	0	46
S842	IGHV4-39*06	IGHD1-20*01	IGHJ2*01	299	0	0	12	53
S843	IGHV3-33*01	IGHD1-7*01	IGHJ3*02	296	0	4	8	50
S844	IGHV3-73*01	IGHD5-12*01	IGHJ2*01	302	13	18	10	48
S845	IGHV3-11*05	IGHD4-4*01	IGHJ1*01	295	3	0	7	47
S846	IGHV6-1*02	IGHD3-9*01	IGHJ4*03	300	3	24	9	34
S847	IGHV3-30-3*03	IGHD1-20*01	IGHJ2*01	296	2	11	1	51
S848	IGHV2-70*10	IGHD5-5*01	IGHJ5*01	301	1	2	1	38
S849	IGHV1-24*01	IGHD5-18*01	IGHJ6*01	294	8	9	1	61
S850	IGHV3-9*02	IGHD5-18*01	IGHJ5*02	297	3	7	6	45
S851	IGHV5-51*04	IGHD6-25*01	IGHJ4*03	294	0	12	1	48
S852	IGHV4-31*02	IGHD6-6*01	IGHJ4*02	299	0	16	12	43
S853	IGHV1-69-2*01	IGHD6-13*01	IGHJ4*02	296	3	12	11	36
S854	IGHV1-3*01	IGHD2-2*03	IGHJ5*02	296	2	22	0	47
S855	IGHV3-23*05	IGHD6-25*01	IGHJ2*01	294	13	4	11	48
S856	IGHV3-11*03	IGHD6-13*01	IGHJ4*01	292	11	18	2	35
S857	IGHV3-11*05	IGHD1-7*01	IGHJ5*02	295	2	14	8	51
S858	IGHV3-9*03	IGHD2-2*02	IGHJ3*02	298	7	26	0	48
S859	IGHV2-26*01	IGHD5-18*01	IGHJ1*01	301	7	20	8	52
S860	IGHV3-15*01	IGHD2-2*03	IGHJ5*02	289	2	25	6	51
S861	IGHV7-4-1*01	IGHD3-22*01	IGHJ6*02	294	4	21	6	62
S862	IGHV3-13*05	IGHD1-7*01	IGHJ6*04	292	3	17	4	63
S863	IGHV4-30-4*02	IGHD6-25*01	IGHJ6*01	299	7	0	0	52
S864	IGHV5-51*04	IGHD4-17*01	IGHJ1*01	294	0	11	1	52
S865	IGHV3-9*03	IGHD6-6*01	IGHJ5*02	298	8	0	11	47
S866	IGHV7-4-1*02	IGHD3-22*01	IGHJ3*01	292	12	22	3	50
S867	IGHV1-58*02	IGHD5-5*01	IGHJ5*02	296	9	10	7	45
S868	IGHV3-15*06	IGHD3-3*02	IGHJ5*02	302	8	17	7	45
S869	IGHV3-15*08	IGHD3-10*01	IGHJ5*01	301	4	25	0	40
S870	IGHV3-13*01	IGHD4-17*01	IGHJ5*02	292	5	0	0	43
S871	IGHV4-61*01	IGHD6-13*01	IGHJ6*03	299	0	13	6	57
S872	IGHV4-38-2*02	IGHD2-2*01	IGHJ4*01	295	12	18	3	42
S873	IGHV4-30-4*01	IGHD3-10*01	IGHJ6*01	299	13	29	4	55
S874	IGHV1-8*01	IGHD6-6*01	IGHJ3*02	296	0	8	7	44
S875	IGHV3-43*01	IGHD6-25*01	IGHJ4*01	298	4	12	6	35
S876	IGHV3-9*01	IGHD3-22*01	IGHJ1*01	297	6	29	4	43
S877	IGHV4-39*01	IGHD7-27*01	IGHJ3*02	298	5	11	9	50
S878	IGHV3-23*03	IGHD3-3*01	IGHJ5*01	293	12	30	0	47
S879	IGHV3-64*04	IGHD6-13*01	IGHJ1*01	296	6	8	1	41
S880	IGHV2-5*02	IGHD5-12*01	IGHJ4*01	301	13	11	0	48
S881	IGHV3-13*02	IGHD4-17*01	IGHJ5*01	291	7	7	3	47
S882	IGHV3-53*02	IGHD6-19*01	IGHJ6*02	292	0	14	2	58
S883	IGHV1-2*04	IGHD1-1*01	IGHJ6*04	296	7	7	0	57
S884	IGHV6-1*02	IGHD5-12*01	IGHJ5*02	305	7	3	1	51
S885	IGHV7-4-1*01	IGHD4-4*01	IGHJ1*01	294	13	11	3	46
S886	IGHV3-66*02	IGHD3-10*01	IGHJ6*02	290	6	22	0	57
S887	IGHV1-24*01	IGHD3-9*01	IGHJ3*01	296	3	29	3	39
S888	IGHV1-69-2*01	IGHD2-15*01	IGHJ3*02	294	2	30	3	35
S889	IGHV1-8*02	IGHD6-25*01	IGHJ3*02	294	8	13	10	48
S890	IGHV4-28*02	IGHD2-8*01	IGHJ4*03	295	7	31	13	48
S891	IGHV3-23*05	IGHD3-16*01	IGHJ1*01	294	6	27	0	40
S892	IGHV1-46*03	IGHD5-18*01	IGHJ2*01	296	0	11	0	48
S893	IGHV2-5*06	IGHD6-13*01	IGHJ6*04	299	4	7	0	63
S894	IGHV3-9*02	IGHD3-22*01	IGHJ1*01	298	6	22	1	52
S895	IGHV3-64*01	IGHD2-15*01	IGHJ2*01	296	5	27	0	45
S896	IGHV3-20*01	IGHD5-18*01	IGHJ5*01	295	4	18	18	41
S897	IGHV3-49*05	IGHD3-10*01	IGHJ1*01	302	1	15	0	37
S898	IGHV1-3*01	IGHD6-19*01	IGHJ6*02	291	4	16	3	55
S899	IGHV1-8*01	IGHD1-7*01	IGHJ4*01	295	5	15	7	48
S900	IGHV4-34*05	IGHD2-21*02	IGHJ2*01	291	0	24	2	35
S901	IGHV3-64*01	IGHD6-25*01	IGHJ5*01	296	2	14	15	46
S902	IGHV3-20*01	IGHD6-25*01	IGHJ1*01	296	0	7	13	36
S903	IGHV5-10-1*03	IGHD5-12*01	IGHJ4*01	294	0	21	7	42
S904	IGHV3-64*05	IGHD2-2*03	IGHJ6*03	294	0	26	5	62
S905	IGHV2-26*01	IGHD6-13*01	IGHJ4*01	295	0	13	0	47
S906	IGHV1-24*01	IGHD1-7*01	IGHJ5*01	290	4	17	8	45
S907	IGHV4-28*06	IGHD1-26*01	IGHJ3*01	295	0	0	0	45
S908	IGHV3-30-3*03	IGHD2-15*01	IGHJ1*01	295	0	31	6	47
S909	IGHV3-72*01	IGHD2-15*01	IGHJ5*01	298	8	26	2	51
S910	IGHV3-72*01	IGHD1-1*01	IGHJ5*02	301	0	6	0	51
S911	IGHV3-23*05	IGHD1-1*01	IGHJ6*02	292	3	0	9	62
S912	IGHV3-49*05	IGHD1-7*01	IGHJ1*01	300	9	7	1	47
S913	IGHV3-64*01	IGHD3-16*01	IGHJ2*01	296	8	32	7	36
S914	IGHV3-66*04	IGHD2-15*01	IGHJ5*02	292	6	26	1	51
S915	IGHV1-69*08	IGHD2-15*01	IGHJ5*01	295	12	23	0	37
S916	IGHV1-69-2*01	IGHD1-20*01	IGHJ6*02	296	0	5	1	46
S917	IGHV3-33*06	IGHD6-19*01	IGHJ4*03	295	9	16	13	43
S918	IGHV4-31*02	IGHD1-20*01	IGHJ5*01	296	0	9	0	47
S919	IGHV1-24*01	IGHD3-9*01	IGHJ1*01	296	0	31	6	40
S920	IGHV3-15*01	IGHD2-21*02	IGHJ5*02	302	1	17	1	49
S921	IGHV3-64*02	IGHD3-3*01	IGHJ3*01	293	2	22	3	44
S922	IGHV1-2*03	IGHD2-21*01	IGHJ5*01	295	7	25	0	46
S923	IGHV2-5*04	IGHD6-19*01	IGHJ4*01	294	7	13	0	35
S924	IGHV4-61*02	IGHD4-17*01	IGHJ5*02	299	9	16	1	42
S925	IGHV1-45*02	IGHD2-8*01	IGHJ4*03	295	7	31	2	38
S926	IGHV3-20*01	IGHD4-17*01	IGHJ6*02	296	21	14	16	58
S927	IGHV1-69*02	IGHD7-27*01	IGHJ5*02	292	0	0	6	48
S928	IGHV1-58*02	IGHD2-2*03	IGHJ6*01	295	9	20	0	58
S929	IGHV3-9*02	IGHD2-21*01	IGHJ3*02	298	3	19	0	44
S930	IGHV3-15*03	IGHD6-13*01	IGHJ3*02	302	0	7	8	50
S931	IGHV3-7*01	IGHD1-26*01	IGHJ1*01	291	10	15	2	52
S932	IGHV3-23*05	IGHD3-22*01	IGHJ2*01	292	21	30	4	53
S933	IGHV3-9*03	IGHD2-15*01	IGHJ2*01	296	0	14	1	47
S934	IGHV3-11*03	IGHD6-13*01	IGHJ4*02	293	7	16	0	48
S935	IGHV6-1*02	IGHD2-8*02	IGHJ5*02	305	14	27	6	45
S936	IGHV2-26*01	IGHD2-21*01	IGHJ3*02	301	5	23	0	38
S937	IGHV3-64*02	IGHD1-1*01	IGHJ6*02	296	4	13	3	62
S938	IGHV2-26*01	IGHD2-2*02	IGHJ3*02	301	0	20	13	42
S939	IGHV1-24*01	IGHD3-9*01	IGHJ4*02	296	0	22	7	48
S940	IGHV3-23*03	IGHD2-2*02	IGHJ5*01	293	3	25	7	45
S941	IGHV1-69-2*01	IGHD5-5*01	IGHJ2*01	296	7	10	10	53
S942	IGHV3-11*03	IGHD4-17*01	IGHJ6*04	292	9	13	0	62
S943	IGHV3-30-3*02	IGHD6-13*01	IGHJ2*01	294	7	15	2	46
S944	IGHV6-1*02	IGHD6-25*01	IGHJ6*02	305	7	18	11	58
S945	IGHV3-48*02	IGHD4-4*01	IGHJ4*01	296	8	3	3	48
S946	IGHV3-15*02	IGHD3-22*01	IGHJ4*03	302	4	28	10	35
S947	IGHV4-59*07	IGHD2-2*02	IGHJ3*02	291	0	25	1	44
S948	IGHV4-39*02	IGHD6-6*01	IGHJ3*01	299	6	0	7	49
S949	IGHV1-46*01	IGHD6-19*01	IGHJ5*02	293	3	9	1	49
S950	IGHV3-30-3*03	IGHD1-1*01	IGHJ3*02	296	11	9	4	47
S951	IGHV3-30-3*01	IGHD2-21*02	IGHJ5*02	294	1	9	3	45
S952	IGHV3-20*01	IGHD5-18*01	IGHJ1*01	296	14	14	6	52
S953	IGHV3-53*01	IGHD5-12*01	IGHJ2*01	290	8	12	3	45
S954	IGHV3-21*02	IGHD2-2*01	IGHJ4*03	296	8	31	1	46
S955	IGHV1-18*01	IGHD3-10*01	IGHJ6*03	295	7	31	4	62
S956	IGHV3-48*04	IGHD6-6*01	IGHJ3*01	296	2	1	2	45
S957	IGHV3-23*01	IGHD3-16*01	IGHJ1*01	296	0	18	9	44
S958	IGHV3-20*01	IGHD6-19*01	IGHJ5*02	296	11	9	1	38
S959	IGHV1-45*01	IGHD3-16*01	IGHJ6*03	295	12	27	0	62
S960	IGHV4-39*01	IGHD3-16*02	IGHJ2*01	299	0	26	7	50
S961	IGHV1-2*04	IGHD3-9*01	IGHJ4*02	295	6	17	0	37
S962	IGHV3-30-3*02	IGHD5-12*01	IGHJ2*01	296	7	20	3	53
S963	IGHV3-30*05	IGHD3-3*01	IGHJ5*02	294	7	7	6	50
S964	IGHV1-69-2*01	IGHD1-20*01	IGHJ2*01	295	2	3	0	43
S965	IGHV3-23*03	IGHD7-27*01	IGHJ5*02	296	6	6	3	38
S966	IGHV3-7*01	IGHD5-5*01	IGHJ3*02	296	9	9	0	50
S967	IGHV3-64*05	IGHD1-7*01	IGHJ5*01	295	7	8	0	51
S968	IGHV1-45*01	IGHD2-21*01	IGHJ3*02	296	3	25	7	48
S969	IGHV5-10-1*04	IGHD3-10*02	IGHJ5*02	293	4	19	0	36
S970	IGHV3-64*04	IGHD4-4*01	IGHJ1*01	296	10	2	2	45
S971	IGHV5-51*01	IGHD1-26*01	IGHJ2*01	295	3	8	3	49
S972	IGHV3-21*01	IGHD4-17*01	IGHJ4*01	296	17	13	7	40
S973	IGHV1-46*03	IGHD5-5*01	IGHJ2*01	296	12	7	1	51
S974	IGHV2-5*08	IGHD1-7*01	IGHJ1*01	301	3	3	0	51
S975	IGHV1-45*01	IGHD6-25*01	IGHJ1*01	295	8	15	3	46
S976	IGHV3-43*02	IGHD1-7*01	IGHJ1*01	297	8	2	4	47
S977	IGHV2-70*10	IGHD6-19*01	IGHJ5*01	300	8	0	0	44
S978	IGHV4-30-4*03	IGHD6-19*01	IGHJ5*02	290	0	7	0	49
S979	IGHV3-66*01	IGHD2-21*02	IGHJ2*01	292	3	8	9	49
S980	IGHV3-48*04	IGHD3-9*01	IGHJ4*01	295	2	22	4	44
S981	IGHV1-8*01	IGHD5-5*01	IGHJ3*02	293	11	17	4	48
S982	IGHV3-13*01	IGHD5-12*01	IGHJ3*01	292	5	7	10	50
S983	IGHV1-45*01	IGHD6-25*01	IGHJ1*01	295	3	0	8	52
S984	IGHV3-64*02	IGHD6-6*01	IGHJ1*01	296	15	18	1	37
S985	IGHV3-73*02	IGHD3-10*01	IGHJ6*04	302	0	20	0	60
S986	IGHV3-7*02	IGHD7-27*01	IGHJ5*01	294	6	4	0	51
S987	IGHV3-53*01	IGHD5-5*01	IGHJ5*02	291	0	14	13	34
S988	IGHV3-23*05	IGHD3-9*01	IGHJ5*01	293	0	31	3	49
S989	IGHV1-8*01	IGHD3-9*01	IGHJ3*02	296	0	23	15	45
